"1","MTDP-620GS ","CAMINADOR ELIPTICO","1"
"2","MTDP 20206","BICICLETA ELIPTICA CON ACCESORIOS","1"
"3","MTDP 008C","CAMINADORA MULTIFUNCIONAL","1"
"4","MTDP 6000","MULTIGIMNASIO PARA EL HOGAR","1"
"5","MTDP-408U","BICICLETA MAGNETICA","2"
"6","MTDP-7001"," GIMNASIO CASERO","2"
"7","MTDP-7081F","MULTIGIMNASIO","2"
"8","HEAD-H661"," ELIPTICA","3"
"9","HEAD-H681","BICICLETA SPINNING","3"
"10","HEAD-H761","GIMNASIO","3"
"11","MTDP - 0052-13","BICICLETA ","1"
"63","YK-ET1603","Caminadora Motorizada Athletic 1.25 Hp","2"
"64","MTDP-007LAA","CAMINADORA MULTIFUNCIONAL","2"
"65","LUBRIGYM03","Paq. De 3 Lubricantes","12"
"16","MTDP-1105","BANCA ARA EJERCICIOS","5"
"17","MTDP-855","BANCO","4"
"18","MTDP-5001","GIMNASIO PARA EL HOGAR","5"
"19","MTDP-8321","TWIST DE CUERDAS","5"
"20","MTDP-8000","BANCO PARA ABDOMINALES","5"
"21","MTDP-3001","EJERCITADOR ","4"
"22","MTDP-9528A","MINI ESCALADOR","1"
"23","MTDP-8000","EJERCITADOR DE ABDOMINALES","4"
"24","MTDP-620GS","ELIPTICA","4"
"25","MTDP-402","BICICLETA","1"
"26","OTRO",,"6"
"27","OTRO",,"7"
"28","OTRO",,"8"
"29","OTR",,"9"
"30","OTRO",,"10"
"31","MTDP - 7000","GIMNASIO PARA EL HOGAR","2"
"32","MTDP-647","BANCO MULTIFUNCIONAL","2"
"66","LLAVE01","Llave de seguridad universal","6"
"34","MTDP-1001","BANCO MULTI EJERCICIOS","2"
"35","MTDP-652-G-1","Bici Plegable Magnetica Nuevo","2"
"36","MTDP 007LBA","CAMINADORA MULTIFUNCIONAL","2"
"37","YK-031431","CAMINADORA ELECTRICA ATHLETIC WORKS","2"
"38","YK-B15L","Bicicleta Spinning Athletic Works ","2"
"39","MTDP-860A","POWER TONER","2"
"40","YK-B16GTR","ELIPTICA ATHLETIC WORKS","2"
"41","MTDP-2950B-2A","bicicleta fija","2"
"42","YK-03340-1","CAMINADORA ELECTRICA ATHLETIC WORKS","2"
"43","MTDP_3002","x-bike stsporteam","5"
"44","MTDP 6001","Gimnasio Basico","2"
"45","YK-BK8304R","Bicicleta Magnetica Horizontal Athletic Works YK-BK8304R","2"
"46","MTDP-8321","MINI STEP","2"
"47","YK-B17","ELIPTICA ATHLETIC WORKS","2"
"48","YK-B7411",,"2"
"49","MTDP-652-G-1",,"2"
"50","MTDP-3009A","Bicicleta Fija Manual Athletic Works","2"
"51","YK ET1401B","Caminadora eléctrica athletic works 2.0 hp ","2"
"52","YK-ET1401B","Caminadora Eléctrica Athletic Works 2.0 Hp","2"
"53","YK-02142","Caminadora Eléctrica Athletic Works 2.0 Hp","2"
"54","MTDP-N20207","ELIPTICA ATHLETIC WORKS","2"
"55","MTDP-T881","Caminadora Sporteam","5"
"56","MTDP-GHN5420","Caminadora Motorizada Athletic Works 1.5 Hp","2"
"57","MTDP-007LB","Caminadora Multifuncional Athletic Works","2"
"58","MTDP-2950B-2",,"2"
"59","MTDP-PH100-13KG"," Bicicleta de Spinning Athletic Works","2"
"60","MTDP-7001P","Gimnasio Multifuncional Athletic Works","2"
"61","MTDP-285","TRAMPOLIN","5"
"67","LUBRIGYM04","Lubricante Especial Para Caminadoras Athletic Works","12"
"68","MTDP-5001","MULTIGIMNASIO PARA EL HOGAR","5"
"69","LUBRIGYM05","Paq. De 3 Lubricantes Lubrigym Para Athletic Works","12"
"70","PFEL02916","ELIPTICA PROFORM 150i","10"
"71","WLTL29606","Caminadora Weslo Cadence G-40","13"
"72","LUBRIGYM01","Lubricante Para Equipos De Ejercicio","12"
"76","NTXC8018","Esquiador Profesional Nordictrack","15"
"77","TMAK213","Kit De Accesorios Para Caminadora","6"
"78","NTL50615","Caminadora Nordictrack T 6.5 S","15"
"79","LIMPIADOR","3 Limpiadores Para Banda De Caminadora De 24 Oz (720 Ml)","6"
"80","WLEX81915","Bicicleta Weslo Pursuit Ct 3.3","13"
"81","PFEL64915","Elíptica Proform 620 E","10"
"82","PFEL03915","ProForm 650 LE  ","10"
"83","PFEL64912","Elíptica Proform 420 Ce","10"
"84","MTDP-285","Trampolin Trainer 50""","11"
"85","MTDP-286-48","Trampolin Trainer  48""","11"
"86","MTDP-GHN1420","Caminadora 1.25 HP Unimx03","11"
"87","MTDP-T550","Caminadora 1.5 HP Unimx01","11"
"73","MTDP-GHN1460","Caminadora 2.5 HP Unimx02","11"
"88","PFIYM213","TAPETE YOGA AMARILLO","10"
"89","Funda","Funda","11"
"90","MTDP-401LA","BICICLETA  FIJA  - ATHLETIC WORKS","2"
